Bairro,Distrito,Divisão,Zona
Jardim Ingá,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Iracema,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Itamarati,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Jamaica,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Laranjal,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Leônidas Moreira,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Luzitânia,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Maria Sampaio,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Maria Tereza,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Maria Virginia,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Martinica,CAMPO LIMPO,ZONA SUL 2,SUL
Parque Mirassol,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Mitsutani,CAMPO LIMPO,ZONA SUL 2,SUL
Conjunto Habitacional Monet,CAMPO LIMPO,ZONA SUL 2,SUL
Morumbi do Sul,CAMPO LIMPO,ZONA SUL 2,SUL
Conjunto Residencial Morumbi,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Nadir,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Nelma,CAMPO LIMPO,ZONA SUL 2,SUL
Vila Nossa Senhora Aparecida,CAMPO LIMPO,ZONA SUL 2,SUL
Chácara Nossa Senhora do Bom Conselho,CAMPO LIMPO,ZONA SUL 2,SUL
Vila Nova Pirajussara,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Novo Oriente,CAMPO LIMPO,ZONA SUL 2,SUL
Vila Olga,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Olinda,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Paris,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Piracuamã,CAMPO LIMPO,ZONA SUL 2,SUL
Pirajussara,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Pirajussara,CAMPO LIMPO,ZONA SUL 2,SUL
Vila Pirajussara,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Prestes Maia,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Rebouças,CAMPO LIMPO,ZONA SUL 2,SUL
Parque Regina,CAMPO LIMPO,ZONA SUL 2,SUL
Vila Rica,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Roni,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Rosana,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Samara,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Santa Efigênia,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim São Januário,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim São Mateus,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Taboão,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Tereza Rosa,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Umarizal,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Umuarama,CAMPO LIMPO,ZONA SUL 2,SUL
Jardim Vale das Virtudes,CAMPO LIMPO,ZONA SUL 2,SUL
Conjunto Habitacional Adventista,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Albano,CAPÃO REDONDO,ZONA SUL 2,SUL
Parque Aliança,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Alvorada,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Amália,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Ana,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Analícia,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Atlântico,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Aurélio,CAPÃO REDONDO,ZONA SUL 2,SUL
Cidade Auxiliadora,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Avenida,CAPÃO REDONDO,ZONA SUL 2,SUL
Parque Residencial Bandeirantes,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Boa Esperança,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Campo de Fora,CAPÃO REDONDO,ZONA SUL 2,SUL
Capão Redondo,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Capão Redondo,CAPÃO REDONDO,ZONA SUL 2,SUL
Vila Cecy Madureira,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Clarice,CAPÃO REDONDO,ZONA SUL 2,SUL
Vila Clélia,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim do Colégio,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Comercial,CAPÃO REDONDO,ZONA SUL 2,SUL
Parque Cristina,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Dinah,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Dom José,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Eledy,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Emília,CAPÃO REDONDO,ZONA SUL 2,SUL
Parque do Engenho,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Ester,CAPÃO REDONDO,ZONA SUL 2,SUL
Vila Fazzione,CAPÃO REDONDO,ZONA SUL 2,SUL
Conjunto Habitacional Feitiço da Vila,CAPÃO REDONDO,ZONA SUL 2,SUL
Conjunto Habitacional Parque Fernanda,CAPÃO REDONDO,ZONA SUL 2,SUL
Parque Fernanda,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Fernandes,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Fraternidade,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Germânia,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Gismar,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Iae,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Ibirapuera,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Imbé,CAPÃO REDONDO,ZONA SUL 2,SUL
Parque Independência,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Ipé,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Irapiranga,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Irene,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Itaoca,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Jangadeiro,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Jerivá,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Lídia,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Lilah,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Luzitânia,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Macedônia,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Madalena,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Maraca,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Marcelo,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Marciano,CAPÃO REDONDO,ZONA SUL 2,SUL
Parque Maria Helena,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Mariane,CAPÃO REDONDO,ZONA SUL 2,SUL
Vila Maringá,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Mirante,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Modelo,CAPÃO REDONDO,ZONA SUL 2,SUL
Conjunto Habitacional Monet,CAPÃO REDONDO,ZONA SUL 2,SUL
Vila Monte Alegre,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Nova Germânia,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim do Pastor,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Piracema,CAPÃO REDONDO,ZONA SUL 2,SUL
Estância Pirajussara,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Remo,CAPÃO REDONDO,ZONA SUL 2,SUL
Parque Rondon,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim das Rosas,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Sagrado Coração De Jesus,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Sandra,CAPÃO REDONDO,ZONA SUL 2,SUL
Vila Santa Maria,CAPÃO REDONDO,ZONA SUL 2,SUL
Vila Santa Terezinha,CAPÃO REDONDO,ZONA SUL 2,SUL
Parque Santana,CAPÃO REDONDO,ZONA SUL 2,SUL
Conjunto Habitacional Jardim São Bento,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim São Bento,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim São José,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim São Judas Tadeu,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim São Vitor,CAPÃO REDONDO,ZONA SUL 2,SUL
Parque Sônia,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Soraia,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Três Estrelas,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Vale Das Virtudes,CAPÃO REDONDO,ZONA SUL 2,SUL
Valo Velho,CAPÃO REDONDO,ZONA SUL 2,SUL
Cohab Valo Velho,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Valquíria,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Vanda,CAPÃO REDONDO,ZONA SUL 2,SUL
Conjunto Residencial Vanguarda,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Vaz De Lima,CAPÃO REDONDO,ZONA SUL 2,SUL
Parque Residencial Vera Cruz,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Viana,CAPÃO REDONDO,ZONA SUL 2,SUL
Jardim Vista Linda,CAPÃO REDONDO,ZONA SUL 2,SUL
Cidade Ademar,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Alto Congonhas,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Alvorada,CIDADE ADEMAR,ZONA SUL 2,SUL
Americanópolis,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Anchieta,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Bransley,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Capela,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim do Castelo,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Celeste,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Cidália,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Clara,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Clarice,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Constança,CIDADE ADEMAR,ZONA SUL 2,SUL
Cupecê,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Cupecê,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Domitila,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Elida,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Erna,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Filomena,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Harmonia,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Ideal,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Império,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Imprensa,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Inglesa,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Itacolomi,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Itapura,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Jabaquara,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Joaniza,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Judith,CIDADE ADEMAR,ZONA SUL 2,SUL
Cidade Julia,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Los Angeles,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Luanda,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Luso,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Maiara,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Marari,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Maria Luiza,CIDADE ADEMAR,ZONA SUL 2,SUL
Conjunto Habitacional Jardim Martinez,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Martini,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Melo,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Mendes Gaia,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Miriam,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Missionaria,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Niterói,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Nossa Senhora Das Graças,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Nosso Lar,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Nova Caledônia,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Olinda,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Oliveira,CIDADE ADEMAR,ZONA SUL 2,SUL
Jardim Orli,CIDADE ADEMAR,ZONA SUL 2,SUL
Vila Patrimonial,CIDADE ADEMAR,ZONA SUL 2,SUL
