RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,PREÇO COMPRA,MODELIDADE DE COMPRA,FORNECEDOR (B BRANCA),DATA COLETA,DATA RECUSA,NOTA FISCAL
Auto Posto Raio Dourado Ltda,"Estrada da Barreira Grande, 3361",Jd Imperador,BRANCA,3.979,3.57,FOB,FERA,26/11/2019,-,Sim
Auto Posto Bixiga Ltda.,"Rua Manoel Dultra, 288",Bela Vista,PETROBRAS DISTRIBUIDORA S.A.,3.979,-,-,-,21/11/2019,-,Sim
Visao Auto Posto Limitada,"Largo Ubirajara, 22",Belenzinho,BRANCA,3.979,3.623,FOB,REDE SOL,05/11/2019,-,Sim
Auto Posto Petala Azul Ltda,"Rua Conselheiro Lafayette, 255",Moóca,RAIZEN,3.979,3.779,FOB,-,05/11/2019,-,Sim
Companhia Brasileira de Distribuicao,"Avenida Sao Miguel, 6818 6838 Parte",Vila Norma,IPIRANGA,3.979,3.932,CIF,-,13/11/2019,-,Sim
Companhia Brasileira de Distribuicao,"Avenida Nossa Senhora do O, 1759 2003, Parte",Freguesia do O,IPIRANGA,3.979,3.882,CIF,-,13/11/2019,-,Sim
Carrefour Comercio e Industria Ltda,"Pra A Alberto Lion, 100 Patio",Cambuci,RAIZEN,3.979,-,-,-,12/11/2019,-,Sim
Carrefour Comercio e Industria Ltda,"Rua Marambaia, 200 Setor 1",Casa Verde,RAIZEN,3.979,3.791,CIF,-,21/11/2019,-,Sim
Super Posto Avinhado Eireli,"Rua Avinhado, 8",Vila Americana,BRANCA,3.979,3.668,FOB,STOCK,21/11/2019,-,Sim
Triplo X Auto Posto Ltda,"Avenida Presidentetancredo Neves, 85 Térreo",Vila Moinho Velho,BRANCA,3.979,3.59,FOB,FERA,25/11/2019,-,Sim
Carrefour Comercio e Industria Ltda,"Avenida Professor Celestino Bourroul, 151",Bairro Limao,PETROBRAS DISTRIBUIDORA S.A.,3.979,3.902,CIF,-,13/11/2019,-,Sim
Companhia Brasileira de Distribuicao,"Rua Professor Serafim Orlandi, 299 Parte",Vila Mariana,IPIRANGA,3.979,3.86,CIF,-,18/11/2019,-,Sim
Companhia Brasileira de Distribuicao,"Estrada de Itaquera, 2671 Parte",Jardim Helena,IPIRANGA,3.979,-,-,-,27/11/2019,-,Sim
Centro Automotivo Porto Principe Ltda,"Avenida Presidente Tancredo Neves, 126 142",Vila Nancy,BRANCA,3.989,3.535,FOB,FERA,18/11/2019,-,Sim
Centro Automotivo Cartagena Ltda,"Rua General Chagas Santos, 961",Saúde,PETROBRAS DISTRIBUIDORA S.A.,3.989,-,-,-,18/11/2019,-,Sim
Centro Automotivo Principe de Gales Ltda.,"Rua Nossa Senhorada da Saúde, 800 820 Esq. Rua Com Piloto N.24",Jardim Previdencia,BRANCA,3.989,3.63,FOB,ALESAT,25/11/2019,-,Sim
Auto Posto Andorinha Ltda,"Avenida Sapopemba, 6367",Sapopemba,PETROBRAS DISTRIBUIDORA S.A.,3.989,3.874,FOB,-,27/11/2019,-,Sim
Auto Posto Marlice Ltda,"Avenida Itaquera, 2407",Vl Talarico,BRANCA,3.989,3.659,FOB,TRIANGULO,21/11/2019,-,Sim
Auto Posto Monet Ltda,"Rua Maria Fette, 161",Vila Mercedes,BRANCA,3.989,-,-,-,26/11/2019,-,Sim
Auto Posto Anhaia Mello Ltda,"Avenida Professor Luiz Inacio Anhaia Mello, 4530",Vila Prudente,PETROBRAS DISTRIBUIDORA S.A.,3.989,3.851,FOB,-,26/11/2019,-,Sim
Pirapanema Serviços Automotivos Ltda,"Avenida Corifeu de Azevedo Marques, 5793",Vila Lageado,RAIZEN,3.99,-,-,-,13/11/2019,-,Sim
Sabia Posto de Servicos e Conveniencias Ltda,"Avenida Santo Amaro, 1.543",Vila Nov A Conceicao,PETROBRAS DISTRIBUIDORA S.A.,3.99,-,-,-,13/11/2019,-,Sim
Auto Posto Maranelo Ii Ltda,"Avenida Bras Leme, 2433",Santana,RAIZEN,3.996,3.719,CIF,-,21/11/2019,-,Sim
Arinella Imigrantes Comercio Varejista de Combustiveis Ltda,"Avenida Ricardo Jafet, 3400",Vila Firmiano Pinto,RAIZEN,3.997,-,-,-,18/11/2019,-,Sim
Auto Posto Tiquatira Ltda,"Rua Doutor Andrade, S/n Esquina Com A Rua Dr. Virgilio Machado",Vila Vidal,RAIZEN,3.997,3.613,CIF,-,13/11/2019,-,Sim
Center Car Auto Posto Ltda,"Avenida Jaguare, 717",Jaguaré,RAIZEN,3.997,-,-,-,06/11/2019,-,Sim
Auto Posto Tuim Ltda,"Avenida Benjamim Pereira, 60",Vila Mazzei,BRANCA,3.997,-,-,-,06/11/2019,-,Sim
Auto Posto Dj Ltda,"Rua Francisco Xavier Paes Barreto, 200",Vila Sao Geraldo,PETROBRAS DISTRIBUIDORA S.A.,3.997,-,-,-,13/11/2019,-,Sim
